City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Shache,CN,38.4167,77.2406,50.49,31,89,4.38,overcast clouds
321,Araouane,ML,18.9048,-3.5265,71.92,8,14,13.98,few clouds
322,Maneadero,MX,31.7167,-116.5667,62.01,74,0,4.0,clear sky
323,Kuah,MY,6.3265,99.8432,77.0,94,20,7.54,few clouds
324,Amahai,ID,-3.3333,128.9167,83.64,70,95,1.59,light rain
325,Valparaiso,CL,-33.0393,-71.6273,62.6,82,0,11.5,clear sky
326,Vila Do Maio,CV,15.1333,-23.2167,68.0,77,0,17.27,clear sky
327,Hammerfest,NO,70.6634,23.6821,37.4,70,40,5.75,light rain
328,Bontang,ID,0.1333,117.5,78.37,84,98,3.96,overcast clouds
329,Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,76,20,6.91,few clouds
330,Paraiso,CR,9.8383,-83.8656,77.0,73,75,8.05,broken clouds
331,Vardo,NO,70.3705,31.1107,37.4,70,40,17.27,scattered clouds
332,Baracoa,CU,20.3467,-74.4958,75.88,85,22,6.76,few clouds
333,Conakry,GN,9.538,-13.6773,78.84,68,99,4.56,overcast clouds
334,Limoeiro Do Norte,BR,-5.1456,-38.0981,74.8,93,52,5.7,moderate rain
335,Saint-Francois,FR,46.4154,3.9054,44.01,87,0,3.44,clear sky
336,Richards Bay,ZA,-28.783,32.0377,69.53,67,100,3.56,overcast clouds
337,Joshimath,IN,30.5667,79.5667,40.24,47,14,9.22,few clouds
338,Varkaus,FI,62.3153,27.873,36.0,93,90,8.05,overcast clouds
339,Waingapu,ID,-9.6567,120.2641,80.96,79,14,1.86,few clouds
340,Balykshi,KZ,47.0667,51.8667,42.8,87,75,22.37,mist
341,Phan Thiet,VN,10.9333,108.1,78.26,76,99,8.14,overcast clouds
342,Broken Hill,AU,-31.95,141.4333,64.4,63,75,18.41,broken clouds
343,Keetmanshoop,NA,-26.5833,18.1333,72.97,48,0,8.57,clear sky
344,Marquette,US,46.5333,-87.6335,48.99,89,99,4.0,light rain
